"Alarm Name","Alarm Type","Alarm Source Node","Card/Board Location","Impacted Link","Impacted NE"
"MW_LOF","LINK BASED","CTG_R0781_NE_1","4-ISV3","CTG_R0781_NE_1-BTRM01_NE_1",""
"MW_LOF","LINK BASED","SYL_X0062_NE_1","3-ISV3","SYL_X0062_NE_1-SYL_X0139_NE_1",""
"VOLT_LOS","LINK BASED","SYL_X0062_NE_1","3-ISV3","SYL_X0062_NE_1-SYL_X0139_NE_1",""
"POWER_ABNORMAL","NE BASED","_109_NE_1","9-PIU","","_109_NE_1"
"BUS_ERR","BOTH (NE BASED)","RAJ_X0768_NE_1","7-CSHO","","RAJ_X0768_NE_1"
"MAC_EXT_EXC","LINK BASED","KHU_X0155_NE_2","5-ISM6","KHU_X0155_NE_2-KHU_X0299_NE_1",""
"MAC_EXT_EXC","LINK BASED","KHU_X0155_NE_2","5-ISM6","KHU_X0155_NE_2-KHU_X0299_NE_1",""
"HARD_BAD","BOTH (NE BASED)","KHU_X0084_NE_1","1-CSHR","","KHU_X0084_NE_1"
"BUS_ERR","BOTH (NE BASED)","RAJ_X0345_NE_1","7-CSHO","","RAJ_X0345_NE_1"
"POWER_ABNORMAL","NE BASED","CTG_R2420_NE_1","9-PIU","","CTG_R2420_NE_1"
"MW_LOF","LINK BASED","CTG_X1391_NE_1","6-ISV3","CTG_X1391_NE_1-CTG_R2420_NE_1",""
"AM_DOWNSHIFT","LINK BASED","CTG_M0528_NE_1","3-ISV3","CTG_M0528_NE_1-CTG_X1074_NE_2",""
"MW_LOF","LINK BASED","CTG_X1730_NE_1","5-ISV3","CTG_X1730_NE_1-CTG_X0466_NE_2",""
"MW_LOF","LINK BASED","DHK_X2884_NE_2","7-ISM6","DHK_X2884_NE_2-DHK_X1176_NE_3",""
"AM_DOWNSHIFT","LINK BASED","CTG_X0644_NE_1","6-ISV3","CTG_X0644_NE_1-CTG_X1637_NE_1",""
"MW_LOF","LINK BASED","CTG_X0644_NE_1","6-ISV3","CTG_X0644_NE_1-CTG_X1637_NE_1",""
"AM_DOWNSHIFT","LINK BASED","RAJ_X0214_NE_1","6-ISV3","RAJ_X0214_NE_1-RAJ_R1758_NE_1",""
"AM_DOWNSHIFT","LINK BASED","RAJ_X0342_NE_1","2-ISV3","RAJ_X0342_NE_1-RAJ_W1339_NE_1",""
"AM_DOWNSHIFT","LINK BASED","DHK_X0253_NE_1","4-ISV3","DHK_X0253_NE_1-DHK_G2893_NE_1",""
"AM_DOWNSHIFT","LINK BASED","DHK_G2893_NE_1","3-ISV3","DHK_G2893_NE_1-_DHK_X0253_NE_1",""
"LAG_MEMBER_DOWN","NE BASED","DHK_X1736_NE_2","LINK AGGREGATION GROUP:(2:3G & 2G Interface)","","DHK_X1736_NE_2"
"POWER_ABNORMAL","NE BASED","CTG_X1628_NE_1","9-PIU","","CTG_X1628_NE_1"
"AM_DOWNSHIFT","LINK BASED","DHK_X0567_NE_1","7-ISM6","DHK_X0567_NE_1-DHK_X0561_NE_1",""
"MW_LOF","LINK BASED","DHK_X0567_NE_1","7-ISM6","DHK_X0567_NE_1-DHK_X0561_NE_1",""
"POWER_ABNORMAL","NE BASED","CTG_X0830_NE_1","9-PIU","","CTG_X0830_NE_1"
"AM_DOWNSHIFT","LINK BASED","CTG_X9011_NE_3","5-ISV3","CTG_X9011_NE_3-CTG_W0313_NE_1",""
"AM_DOWNSHIFT","LINK BASED","CTG_R2088_NE_1","3-ISV3","CTG_R2088_NE_1-CTG_X0609_NE_1",""
"LAG_MEMBER_DOWN","NE BASED","CTG_X1854_NE_1","LINK AGGREGATION GROUP:(1:)","","CTG_X1854_NE_1"
"LAG_DOWN","NE BASED","CTG_X1854_NE_1","LINK AGGREGATION GROUP:(1:)","","CTG_X1854_NE_1"
